strain,lcl_NC_009641.1_prot_WP_000667269.1_90,lcl_NC_009641.1_prot_WP_000754443.1_781,lcl_NC_009641.1_prot_WP_000972781.1_1403,lcl_NC_017349.1_prot_WP_000769690.1_948
Saureus--GCA_001018835.2_Saureus_NRS271,2,1,1,1
Saureus--GCA_002089035.2_Saureus_293G,2,1,1,1
Sxylosus--GCA_902362295.1_MGYG-HGUT-00006,1,1,1,
Saureus--GCA_900635095.1_Saureus_NCTC8317,2,1,1,1
Saureus--GCA_001515665.1_Saureus_Gv51,2,1,1,1
Saureus--GCA_001027105.1_Saureus_DSM20231,2,1,1,1
Saureus--GCA_005931055.1_Saureus_GD1696,2,1,1,1
Saureus--GCA_001019275.2_Saureus_NRS107,2,1,1,1
Saureus--GCA_002000705.1_Saureus_USA300-SUR16,2,1,1,1
Saureus--GCA_000463055.1_Saureus_CN1,2,1,1,1
Saureus--GCA_003431365.1_Saureus_CFBR-105,2,1,1,1
Saureus--GCA_003945425.1_Saureus_TUM9463,2,1,1,1
Sxylosus--GCA_003578835.1_SNUC_2618,1,2,1,
Saureus--GCA_900324235.1_Saureus_5_3949,2,1,1,1
Saureus--GCA_003952625.1_Saureus_PMB81-4,2,1,1,1
Saureus--GCA_900620245.1_Saureus_BPH2947,2,1,1,1
Saureus--GCA_000695875.1_Saureus_UA-S391_USA300,2,1,1,1
Saureus--GCA_003573855.1_Saureus_JMUB1273,2,1,1,1
Saureus--GCA_003595505.1_Saureus_USA300-SUR8,2,1,1,1
Saureus--GCA_000568455.1_Saureus_USA300-ISMMS1,2,1,1,1
Sxylosus--GCA_003578885.1_SNUC_416,1,1,1,
Saureus--GCA_900324335.1_Saureus_15_LA_305,2,1,1,1
Saureus--GCA_001717705.2_Saureus_1969.N,2,1,1,1
Saureus--GCA_003609895.1_Saureus_GN3,2,1,1,1
Saureus--GCA_900474715.1_Saureus_NCTC6136,2,1,1,1
Sxylosus--GCA_003041555.1_SNUC_27,1,1,1,
Saureus--GCA_003425545.1_Saureus_199,2,1,1,1
Sxylosus--GCA_902362245.1_MGYG-HGUT-00011,1,1,1,
Saureus--GCA_002952015.1_Saureus_K5,,1,1,1
Saureus--GCA_002025125.1_Saureus_08S00974,2,1,1,1
Saureus--GCA_003073395.1_Saureus_CIT,2,1,1,1
Saureus--GCA_001018775.2_Saureus_NRS149,2,1,1,1
Saureus--GCA_002000725.1_Saureus_USA300-SUR17,2,1,1,1
Saureus--GCA_003425885.1_Saureus_82,2,1,1,1
Saureus--GCA_009739755.1_Saureus_P1D8C2,2,1,1,1
Saureus--GCA_900324315.1_Saureus_12_LA_293,2,1,1,1
Sepidermidis--GCA_006742205.1_NBRC_100911,1,1,1,
Saureus--GCA_002000605.1_Saureus_USA300-SUR11,2,1,1,1
Saureus--GCA_006364775.1_Saureus_FDAARGOS_766,2,1,1,1
Sxylosus--GCA_002836825.1_INIFAP_009-16,1,1,1,
Saureus--GCA_900620215.1_Saureus_BPH2760,2,1,1,1
Saureus--GCA_005706035.1_Saureus_P10,2,1,1,1
Saureus--GCA_900620255.1_Saureus_BPH2986,2,1,1,1
Saureus--GCA_000967405.1_Saureus_ST228,2,1,1,1
Saureus--GCA_008244705.1_Saureus_NRS384,2,1,1,1
Saureus--GCA_900607255.1_Saureus_BPH2019,2,1,1,1
Saureus--GCA_003354965.1_Saureus_546,2,1,1,1
Saureus--GCA_000412775.1_Saureus_CA-347,2,1,1,1
Scarnosus--GCA_900458435.1_NCTC13825,1,1,1,
Saureus--GCA_004797195.1_Saureus_O82,2,1,1,1
Saureus--GCA_001021875.1_Saureus_M121,2,1,1,1
Saureus--GCA_003827915.1_Saureus_FDAARGOS_504,2,1,1,1
Saureus--GCA_002000745.1_Saureus_USA300-SUR18,2,1,1,1
Saureus--GCA_000010465.1_Saureus_Newman,1,,,1
Saureus--GCA_006094915.1_Saureus_ATCC12600,2,1,1,1
Saureus--GCA_003354645.1_Saureus_128,2,1,1,1
Saureus--GCA_000967325.1_Saureus_ST228,2,1,1,1
Saureus--GCA_005885975.1_Saureus_Col52-A5,2,1,1,1
Saureus--GCA_008244745.1_Saureus_NRS384-rpoB-H481N-SCV,2,1,1,1
Saureus--GCA_002202095.1_Saureus_Seattle1945,2,1,1,1
Saureus--GCA_002000585.1_Saureus_USA300-SUR10,2,1,1,1
Sepidermidis--GCA_002944995.1_FDAARGOS_153,1,1,1,
Saureus--GCA_900324415.1_Saureus_22_LA_562,2,1,1,1
Saureus--GCA_001656075.1_Saureus_08-02300,2,1,1,1
Saureus--GCA_900635315.1_Saureus_NCTC9555,2,1,1,1
Sepidermidis--GCA_009685135.1_IRL01,1,,1,
Saureus--GCA_000967345.1_Saureus_ST228,2,1,1,1
Saureus--GCA_009728755.1_Saureus_ST20130944,2,1,1,1
Saureus--GCA_900323965.1_Saureus_1549-SCV,2,1,1,1
Saureus--GCA_001548415.1_Saureus_MI,2,1,1,1
Saureus--GCA_001018975.2_Saureus_NRS143,2,1,1,1
Sepidermidis--GCA_003856395.1_CDC120,1,1,1,
Saureus--GCA_002633845.1_Saureus_CFSAN007883,2,1,1,1
Sxylosus--GCA_005864455.1_FAM_20833,1,1,1,
Saureus--GCA_000011265.1_Saureus_MW2,2,1,1,1
Saureus--GCA_000239235.1_Saureus_11819-97,2,1,1,1
Saureus--GCA_007726545.1_Saureus_B8-13D,2,1,1,1
Saureus--GCA_003193785.1_Saureus_AR_0473,2,1,1,1
Saureus--GCA_003609915.1_Saureus_GN1,2,1,1,1
Saureus--GCA_009650155.1_Saureus_CFSAN007894,2,1,1,1
Saureus--GCA_002140115.1_Saureus_FORC_039,2,1,1,1
Saureus--GCA_900004855.1_Saureus_BB155,2,1,1,1
Saureus--GCA_900324215.1_Saureus_3_LA_115,2,1,1,1
Saureus--GCA_003354885.1_Saureus_164,2,1,1,1
Saureus--GCA_003432365.1_Saureus_QD-CD9,2,1,1,1
Saureus--GCA_900635335.1_Saureus_NCTC11965,2,1,1,1
Saureus--GCA_002000825.1_Saureus_USA300-SUR22,2,1,1,1
Saureus--GCA_900324385.1_Saureus_20_LA_415,2,1,1,1
Sxylosus--GCA_007814625.1_strain2,1,1,1,
Saureus--GCA_001717975.3_Saureus_2148.C01,2,1,1,1
Saureus--GCA_900324365.1_Saureus_19_LA_388,2,1,1,1
Saureus--GCA_001019495.2_Saureus_FDAARGOS_40,2,1,1,1
Saureus--GCA_000017085.1_Saureus_TCH1516,2,1,1,1
Sxylosus--GCA_003043105.1_SNUC_1267,1,1,1,
Saureus--GCA_000815045.1_Saureus_29b_MRSA,2,1,1,1
Saureus--GCA_009176785.1_Saureus_KG-18,2,1,1,1
Saureus--GCA_001717645.3_Saureus_5118.N,2,1,1,1
Saureus--GCA_003595485.1_Saureus_USA300-SUR7,2,1,1,1
Saureus--GCA_000284535.1_Saureus_HO50960412,2,1,1,1
Saureus--GCA_004771515.1_Saureus_B119,2,1,1,1
Saureus--GCA_000462955.1_Saureus_6850,2,1,1,1
Sxylosus--GCA_003041315.1_SNUC_233,1,1,1,
Saureus--GCA_001515745.1_Saureus_HC1340,2,1,1,1
Saureus--GCA_005707335.1_Saureus_Lr3,2,1,1,1
Saureus--GCA_001019205.2_Saureus_FDAARGOS_48,2,1,1,1
Saureus--GCA_003394105.1_Saureus_WCH-SK2,2,1,1,1
Sepidermidis--GCA_000011925.1_RP62A,1,1,1,
Saureus--GCA_900474555.1_Saureus_NCTC13137,2,1,1,1
Saureus--GCA_007726565.1_Saureus_B3-17D,2,1,1,1
Saureus--GCA_007726325.1_Saureus_B3-14B,2,1,1,1
Sxylosus--GCA_003579145.1_SNUC_5740,1,1,1,
Saureus--GCA_003351925.1_Saureus_FORC_062,2,1,1,1
Saureus--GCA_900635285.1_Saureus_NCTC7121,2,1,1,1
Saureus--GCA_002795285.1_Saureus_USA400-0051,2,1,1,1
Saureus--GCA_900607245.1_Saureus_JKD6009,2,1,1,1
Saureus--GCA_001548295.1_Saureus_FDA209P,2,1,1,1
Saureus--GCA_900635505.1_Saureus_NCTC4163,2,1,1,1
Saureus--GCA_003354625.1_Saureus_468,2,1,1,1
Saureus--GCA_009739825.1_Saureus_P1D5C1,2,1,1,1
Saureus--GCA_001956815.1_Saureus_USA300_SUR1,2,1,1,1
Saureus--GCA_900478245.1_Saureus_NCTC13277,2,1,1,1
Saureus--GCA_003193705.1_Saureus_AR_0219,2,1,1,1
Saureus--GCA_002386245.1_Saureus_FDAARGOS_412,2,1,1,1
Sepidermidis--GCA_900086615.2_BPH0662,1,1,1,
Saureus--GCA_900636695.1_Saureus_NCTC1803,2,1,1,1
Saureus--GCA_900323955.1_Saureus_1549-REV,2,1,1,1
Sepidermidis--GCA_009873455.1_ATCC_12228,1,1,1,
Saureus--GCA_003073415.1_Saureus_CAR,2,1,1,1
Saureus--GCA_008462245.1_Saureus_GD1706,2,1,1,1
Saureus--GCA_003354925.1_Saureus_135,2,1,1,1
Saureus--GCA_008619595.1_Saureus_KUH140087,2,1,1,1
Saureus--GCA_003203595.1_Saureus_AR_0226,2,1,1,1
Saureus--GCA_002000565.1_Saureus_USA300-SUR9,2,1,1,1
Saureus--GCA_004614315.1_Saureus_JK3137,2,1,1,1
Saureus--GCA_001717685.3_Saureus_1971.C01,2,1,1,1
Sxylosus--GCA_002078255.1_S170,1,1,1,
Saureus--GCA_900474525.1_Saureus_NCTC13394,2,1,1,1
Saureus--GCA_900096745.1_Saureus_AUS0325,2,1,1,1
Saureus--GCA_001019535.2_Saureus_Mw2,2,1,1,1
Saureus--GCA_000746505.1_Saureus_2395USA500,2,1,1,1
Saureus--GCA_001640905.1_Saureus_NCCP14558,2,1,1,1
Saureus--GCA_900324205.1_Saureus_1_1439,2,1,1,1
Saureus--GCA_001027045.1_Saureus_RKI4,2,1,1,1
Saureus--GCA_003595365.1_Saureus_USA300-SUR1,2,1,1,1
Saureus--GCA_003184985.1_Saureus_IT1-S,2,1,1,1
Saureus--GCA_000383005.1_Saureus_ST228,2,1,1,1
Sepidermidis--GCA_000751035.1_PM221,1,1,1,
Saureus--GCA_001618305.1_Saureus_RIVM6519,2,1,1,1
Saureus--GCA_003193885.1_Saureus_AR_0467,2,1,1,1
Saureus--GCA_003354585.1_Saureus_629,2,1,1,1
Saureus--GCA_002085525.1_Saureus_JE2,2,1,1,1
Sepidermidis--GCA_003812425.1_FDAARGOS_529,1,1,1,
Saureus--GCA_900324355.1_Saureus_10_5235,2,1,1,1
Sxylosus--GCA_003041255.1_SNUC_4938,1,1,1,
Sxylosus--GCA_003041275.1_SNUC_3232,1,1,1,
Saureus--GCA_002633865.1_Saureus_CFSAN007894,2,1,1,1
Saureus--GCA_003347055.1_Saureus_FORC_061,2,1,1,1
Sxylosus--GCA_001476985.1_NS341,1,1,1,
Saureus--GCA_000011525.1_Saureus_MSSA476,2,1,1,1
Sxylosus--GCA_003578865.1_SNUC_1349,1,1,1,
Saureus--GCA_004208595.1_Saureus_592,2,1,1,1
Saureus--GCA_003031485.1_Saureus_CC5,2,1,1,1
Saureus--GCA_001580495.1_Saureus_FORC_012,2,1,1,1
Sxylosus--GCA_003579115.1_SNUC_4735,1,1,1,
Saureus--GCA_003030065.1_Saureus_CFSAN018749,2,1,1,1
Saureus--GCA_001307235.1_Saureus_JS395,2,1,1,1
Saureus--GCA_001019255.2_Saureus_FDAARGOS_1,2,1,1,1
Saureus--GCA_001975005.1_Saureus_UCI62,2,1,1,1
Saureus--GCA_001019415.2_Saureus_NRS146,2,1,1,1
Saureus--GCA_900474535.1_Saureus_NCTC7485,2,1,1,1
Saureus--GCA_900324225.1_Saureus_7_4623,2,1,1,1
Saureus--GCA_009739795.1_Saureus_P1D7C1,2,1,1,1
Saureus--GCA_001018645.2_Saureus_FDAARGOS_2,2,1,1,1
Saureus--GCA_900129335.1_Saureus_Clinicalisolate,2,1,1,1
Saureus--GCA_000009665.1_Saureus_Mu50,2,1,1,1
Saureus--GCA_007954445.1_Saureus_BSN9S,2,1,1,1
Saureus--GCA_008244725.1_Saureus_NRS384-rpoB-H481N-NCV,2,1,1,1
Saureus--GCA_002000865.1_Saureus_USA300-SUR24,2,1,1,1
Saureus--GCA_009176765.1_Saureus_KG-03,2,1,1,1
Saureus--GCA_001611365.1_Saureus_ST20130942,2,1,1,1
Saureus--GCA_001735655.2_Saureus_3020.C01,2,1,1,1
Saureus--GCA_000815245.1_Saureus_27b_MRSA,2,1,1,1
Saureus--GCA_001986135.1_Saureus_SR434,2,1,1,1
Saureus--GCA_001611405.1_Saureus_ST20130938,2,1,1,1
Sxylosus--GCA_007677965.1_DE0198,1,1,1,
Saureus--GCA_003955945.1_Saureus_O267,2,1,1,1
Saureus--GCA_003194005.1_Saureus_AR_0469,2,1,1,1
Saureus--GCA_001611325.1_Saureus_ST20130940,2,1,1,1
Saureus--GCA_001457495.1_Saureus_NCTC13435,2,1,1,1
Sxylosus--GCA_000338275.1_NJ,1,1,1,
Saureus--GCA_003193725.1_Saureus_AR_0216,2,1,1,1
Saureus--GCA_000815125.1_Saureus_33b,2,1,1,1
Saureus--GCA_900324265.1_Saureus_9_LA_281,2,1,1,1
Saureus--GCA_001880265.1_Saureus_SA40TW,2,1,1,1
Saureus--GCA_000010445.1_Saureus_Mu3,2,1,1,1
Saureus--GCA_001019395.2_Saureus_NRS484,2,1,1,1
Saureus--GCA_003073435.1_Saureus_OXLIM,2,1,1,1
Saureus--GCA_900620235.1_Saureus_BPH2900,2,1,1,1
Sxylosus--GCA_000467225.1_DMB3-Bh1,1,1,1,
Saureus--GCA_900637155.1_Saureus_NCTC13811,2,1,1,1
Saureus--GCA_002000765.1_Saureus_USA300-SUR19,2,1,1,1
Saureus--GCA_002895385.1_Saureus_MRSA107,2,1,1,1
Sxylosus--GCA_003043125.1_SNUC_196,1,1,1,
Saureus--GCA_002633825.1_Saureus_CFSAN007851,2,1,1,1
Saureus--GCA_000145595.1_Saureus_JKD6008,2,1,1,1
Saureus--GCA_005890015.1_Saureus_JKD6004,2,1,1,1
Saureus--GCA_009739675.1_Saureus_P2D8C1,2,1,1,1
Saureus--GCA_001465675.1_Saureus_RIVM1607,2,1,1,1
Saureus--GCA_003354785.1_Saureus_85,2,1,1,1
Saureus--GCA_003991015.1_Saureus_USA100,2,1,1,1
Saureus--GCA_003193665.1_Saureus_AR_0472,2,1,1,1
Sxylosus--GCA_003041485.1_SNUC_4476,1,1,1,
Sxylosus--GCA_003043175.1_SNUC_47,1,1,1,
Sepidermidis--GCA_009769125.1_NCCP_16828,1,1,1,
Scarnosus--GCA_001701005.1_LTH_3730-SK_13-JCM_6069,1,1,1,
Saureus--GCA_003627835.1_Saureus_O326,2,1,1,1
Sxylosus--GCA_003043145.1_SNUC_966,1,,1,
Saureus--GCA_003595385.1_Saureus_USA300-SUR2,2,1,1,1
Saureus--GCA_003595465.1_Saureus_USA300-SUR6,2,1,1,1
Saureus--GCA_003354685.1_Saureus_277,2,1,1,1
Saureus--GCA_008329885.1_Saureus_CFSAN082781,2,1,1,1
Sxylosus--GCA_003041535.1_SNUC_5423,1,1,1,
Saureus--GCA_002310435.1_Saureus_NYU_Newman,2,1,1,1
Saureus--GCA_000969225.1_Saureus_FCFHV36,2,1,1,1
Saureus--GCA_000210315.1_Saureus_ED133,2,1,1,1
Saureus--GCA_003194025.1_Saureus_AR_0215,2,1,1,1
Saureus--GCA_001019125.2_Saureus_FDAARGOS_43,2,1,1,1
Saureus--GCA_000189455.3_Saureus_O46,2,1,1,1
Saureus--GCA_003425915.1_Saureus_64,2,1,1,1
Sxylosus--GCA_001747725.1_22B,1,1,1,
Saureus--GCA_000709475.1_Saureus_XN108,2,1,1,1
Saureus--GCA_003573835.1_Saureus_JMUB3031,2,1,1,1
Saureus--GCA_008693765.1_Saureus_FDAARGOS_660,2,1,1,1
