#taxa	Query_Protein	Subject_Proteins
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_002355647.1_714	lcl_NZ_LR698844.1_prot_WP_002355647.1_633
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_002361094.1_768	lcl_NZ_LR698844.1_prot_WP_002388783.1_682,lcl_NZ_LR698844.1_prot_WP_002361094.1_2469
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_473	lcl_NZ_LR698844.1_prot_WP_002389568.1_389
GCA_902379005.1_MGYG-HGUT-01694	lcl_NC_004668.1_prot_WP_010706694.1_767	lcl_NZ_LR698844.1_prot_WP_010816195.1_2470,lcl_NZ_LR698844.1_prot_WP_002388911.1_681
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002360793.1_456	lcl_NZ_CP028838.1_prot_WP_002360793.1_3136,lcl_NZ_CP028835.1_prot_WP_002360793.1_487
GCA_005158025.1_FC	lcl_NC_004668.1_prot_473	lcl_NZ_CP028839.1_prot_WP_013646119.1_3181,lcl_NZ_CP028835.1_prot_514,lcl_NZ_CP028836.1_prot_WP_002377886.1_2973,lcl_NZ_CP028839.1_prot_WP_013330747.1_3183,lcl_NZ_CP028835.1_prot_505,lcl_NZ_CP028836.1_prot_WP_104659728.1_3023
GCA_005158025.1_FC	lcl_NC_004669.1_prot_WP_010708491.1_3135	lcl_NZ_CP028837.1_prot_WP_010708491.1_3115,lcl_NZ_CP028836.1_prot_WP_078122507.1_2950
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002361094.1_768	lcl_NZ_CP028835.1_prot_WP_002361094.1_2623,lcl_NZ_CP028835.1_prot_WP_002361094.1_762
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002377939.1_460	lcl_NZ_CP028835.1_prot_WP_002377939.1_491,lcl_NZ_CP028838.1_prot_WP_137010930.1_3141
GCA_005158025.1_FC	lcl_NC_004669.1_prot_WP_021732893.1_3134	lcl_NZ_CP028837.1_prot_WP_137010927.1_3114,lcl_NZ_CP028836.1_prot_WP_078122506.1_2949
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002379301.1_984	lcl_NZ_CP028835.1_prot_WP_002361578.1_1006,lcl_NZ_CP028835.1_prot_WP_010717709.1_2505
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002390607.1_1383	lcl_NZ_CP028835.1_prot_WP_137010865.1_1473
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_010710133.1_465	lcl_NZ_CP028835.1_prot_WP_010710133.1_497
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002355913.1_930	lcl_NZ_CP028835.1_prot_WP_002355913.1_944,lcl_NZ_CP028835.1_prot_WP_002355918.1_949
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002401419.1_453	lcl_NZ_CP028835.1_prot_WP_002360797.1_484,lcl_NZ_CP028838.1_prot_WP_002360797.1_3133
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002377937.1_455	lcl_NZ_CP028838.1_prot_WP_010714474.1_3135,lcl_NZ_CP028835.1_prot_WP_002403100.1_486
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002360796.1_454	lcl_NZ_CP028838.1_prot_WP_113826363.1_3134,lcl_NZ_CP028835.1_prot_WP_002360796.1_485
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002355647.1_714	lcl_NZ_CP028835.1_prot_WP_002357053.1_1926,lcl_NZ_CP028835.1_prot_WP_002355647.1_713
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002298822.1_1751	lcl_NZ_CP028836.1_prot_WP_001009056.1_3008
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_000195429.1_112	lcl_NZ_CP028835.1_prot_WP_000195429.1_198,lcl_NZ_CP028835.1_prot_WP_000195429.1_530,lcl_NZ_CP028835.1_prot_WP_000195429.1_235,lcl_NZ_CP028835.1_prot_WP_000195429.1_1570,lcl_NZ_CP028835.1_prot_WP_000195429.1_1863,lcl_NZ_CP028835.1_prot_WP_000195429.1_2133,lcl_NZ_CP028835.1_prot_WP_000195429.1_1811,lcl_NZ_CP028835.1_prot_WP_000195429.1_546
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002364326.1_447	lcl_NZ_CP028835.1_prot_WP_002364326.1_477,lcl_NZ_CP028838.1_prot_WP_113826366.1_3127
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_010784266.1_133	lcl_NZ_CP028837.1_prot_WP_002369735.1_3052
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002355301.1_392	lcl_NZ_CP028835.1_prot_WP_011109446.1_414
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_010706694.1_767	lcl_NZ_CP028835.1_prot_WP_002370746.1_761,lcl_NZ_CP028835.1_prot_WP_002370039.1_2624
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_011109451.1_451	lcl_NZ_CP028838.1_prot_WP_065813682.1_3131,lcl_NZ_CP028835.1_prot_WP_002415819.1_482
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002360791.1_457	lcl_NZ_CP028835.1_prot_WP_137010813.1_488,lcl_NZ_CP028838.1_prot_WP_002387948.1_3137
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002371667.1_2843	lcl_NZ_CP028835.1_prot_WP_002370083.1_2716,lcl_NZ_CP028835.1_prot_WP_002370158.1_2886
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_010774154.1_328	lcl_NZ_CP028835.1_prot_WP_002402891.1_1080,lcl_NZ_CP028835.1_prot_WP_137010862.1_1470
GCA_005158025.1_FC	lcl_NC_004671.1_prot_WP_002395034.1_3182	lcl_NZ_CP028835.1_prot_WP_002377949.1_502
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_011109430.1_134	lcl_NZ_CP028835.1_prot_WP_010710127.1_475
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_010782977.1_132	lcl_NZ_CP028837.1_prot_WP_002365956.1_3051,lcl_NZ_CP028838.1_prot_3121
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002370667.1_448	lcl_NZ_CP028838.1_prot_WP_002370667.1_3128,lcl_NZ_CP028835.1_prot_WP_002370667.1_479
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_010714172.1_287	lcl_NZ_CP028835.1_prot_WP_002358108.1_1043
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002377940.1_462	lcl_NZ_CP028838.1_prot_WP_002387952.1_3143,lcl_NZ_CP028835.1_prot_WP_002377940.1_493
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002365911.1_459	lcl_NZ_CP028835.1_prot_WP_002365911.1_490
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002377936.1_452	lcl_NZ_CP028835.1_prot_WP_002377936.1_483
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_010714280.1_446	lcl_NZ_CP028838.1_prot_WP_113826367.1_3126,lcl_NZ_CP028835.1_prot_WP_010714280.1_476,lcl_NZ_CP028837.1_prot_WP_048948841.1_3057
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_002377931.1_449	lcl_NZ_CP028838.1_prot_WP_010783001.1_3129,lcl_NZ_CP028835.1_prot_WP_002377931.1_480
GCA_005158025.1_FC	lcl_NC_004668.1_prot_WP_033628631.1_450	lcl_NZ_CP028835.1_prot_WP_010710128.1_481,lcl_NZ_CP028838.1_prot_WP_010783231.1_3130
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002355301.1_392	lcl_NZ_CP041012.1_prot_WP_011109446.1_2718
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002359299.1_130	lcl_NZ_CP041012.1_prot_WP_002365210.1_67
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002390607.1_1383	lcl_NZ_CP041012.1_prot_WP_002406386.1_1770
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002361094.1_768	lcl_NZ_CP041012.1_prot_WP_002361094.1_2457,lcl_NZ_CP041012.1_prot_WP_002378063.1_141
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002371667.1_2843	lcl_NZ_CP041012.1_prot_WP_002365438.1_410,lcl_NZ_CP041012.1_prot_WP_025186499.1_245
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_010774154.1_328	lcl_NZ_CP041012.1_prot_WP_002365833.1_1358
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002359295.1_126	lcl_NZ_CP041012.1_prot_WP_002365215.1_72
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002355647.1_714	lcl_NZ_CP041012.1_prot_WP_002355647.1_2517,lcl_NZ_CP041012.1_prot_WP_002357053.1_1359
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002359287.1_118	lcl_NZ_CP041012.1_prot_WP_002365227.1_82
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002379301.1_984	lcl_NZ_CP041012.1_prot_WP_002388439.1_766,lcl_NZ_CP041012.1_prot_WP_010711306.1_2202
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_010706694.1_767	lcl_NZ_CP041012.1_prot_WP_010784871.1_2458,lcl_NZ_CP041012.1_prot_WP_002389182.1_142
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002355913.1_930	lcl_NZ_CP041012.1_prot_WP_002355913.1_2263,lcl_NZ_CP041012.1_prot_WP_002355918.1_2258
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002359290.1_121	lcl_NZ_CP041012.1_prot_WP_002365222.1_78
GCA_006364815.1_FDAARGOS_611	lcl_NC_004668.1_prot_WP_002359288.1_119	lcl_NZ_CP041012.1_prot_WP_002365226.1_81
GCA_900636775.1_NCTC8745	lcl_NC_004668.1_prot_WP_002361094.1_768	lcl_NZ_LR134312.1_prot_WP_002361094.1_578,lcl_NZ_LR134312.1_prot_WP_010774012.1_2187
GCA_900636775.1_NCTC8745	lcl_NC_004668.1_prot_WP_010706694.1_767	lcl_NZ_LR134312.1_prot_WP_164549182.1_2188,lcl_NZ_LR134312.1_prot_WP_010776266.1_577
GCA_900636775.1_NCTC8745	lcl_NC_004668.1_prot_WP_002379301.1_984	lcl_NZ_LR134312.1_prot_WP_010773940.1_801,lcl_NZ_LR134312.1_prot_WP_002378649.1_2076
GCA_900636775.1_NCTC8745	lcl_NC_004668.1_prot_WP_002355913.1_930	lcl_NZ_LR134312.1_prot_WP_002355913.1_746,lcl_NZ_LR134312.1_prot_WP_002355918.1_751
GCA_900636775.1_NCTC8745	lcl_NC_004668.1_prot_WP_002355647.1_714	lcl_NZ_LR134312.1_prot_WP_002355647.1_524
GCA_900636775.1_NCTC8745	lcl_NC_004668.1_prot_WP_002371667.1_2843	lcl_NZ_LR134312.1_prot_WP_002354971.1_2275,lcl_NZ_LR134312.1_prot_WP_002370158.1_2422
GCA_900636775.1_NCTC8745	lcl_NC_004668.1_prot_WP_002355301.1_392	lcl_NZ_LR134312.1_prot_WP_002355301.1_310
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_010706694.1_767	lcl_NZ_CP040898.1_prot_WP_002378755.1_432,lcl_NZ_CP040898.1_prot_WP_002378061.1_2251
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002355647.1_714	lcl_NZ_CP040898.1_prot_WP_002355647.1_2301
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_033628631.1_450	lcl_NZ_CP040898.1_prot_WP_010710128.1_2584
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_010710133.1_465	lcl_NZ_CP040898.1_prot_WP_010710133.1_2568
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002377939.1_460	lcl_NZ_CP040898.1_prot_WP_002377939.1_2574
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002355301.1_392	lcl_NZ_CP040898.1_prot_WP_011109446.1_2648
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002361094.1_768	lcl_NZ_CP040898.1_prot_WP_002378754.1_433,lcl_NZ_CP040898.1_prot_WP_002378063.1_2250
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002401419.1_453	lcl_NZ_CP040898.1_prot_WP_002360797.1_2581
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002364326.1_447	lcl_NZ_CP040898.1_prot_WP_002377929.1_2588
GCA_006349345.1_HA-1	lcl_NC_004669.1_prot_WP_021732893.1_3134	lcl_NZ_CP040897.1_prot_WP_010713026.1_2914
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_010784266.1_133	lcl_NZ_CP040897.1_prot_WP_012579112.1_2932
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_010714280.1_446	lcl_NZ_CP040897.1_prot_WP_048947141.1_2937,lcl_NZ_CP040898.1_prot_WP_010714280.1_2589
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002360791.1_457	lcl_NZ_CP040898.1_prot_WP_002387948.1_2577
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002298822.1_1751	lcl_NZ_CP040898.1_prot_WP_001009056.1_2049
GCA_006349345.1_HA-1	lcl_NC_004669.1_prot_WP_010708491.1_3135	lcl_NZ_CP040897.1_prot_WP_010708491.1_2915
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002355913.1_930	lcl_NZ_CP040898.1_prot_WP_002355913.1_1988,lcl_NZ_CP040898.1_prot_WP_002355918.1_1982
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_473	lcl_NZ_CP040898.1_prot_WP_002377886.1_1398,lcl_NZ_CP040898.1_prot_WP_002377886.1_1412,lcl_NZ_CP040898.1_prot_2560,lcl_NZ_CP040898.1_prot_2551
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002377940.1_462	lcl_NZ_CP040898.1_prot_WP_002377940.1_2572
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002379301.1_984	lcl_NZ_CP040898.1_prot_WP_002378165.1_1927,lcl_NZ_CP040898.1_prot_WP_002378649.1_546
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002360793.1_456	lcl_NZ_CP040898.1_prot_WP_002360793.1_2578
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_011109430.1_134	lcl_NZ_CP040897.1_prot_WP_012579113.1_2936,lcl_NZ_CP040898.1_prot_WP_010710127.1_2590
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002371667.1_2843	lcl_NZ_CP040898.1_prot_WP_002378868.1_164,lcl_NZ_CP040898.1_prot_WP_002378805.1_334
GCA_006349345.1_HA-1	lcl_NC_004671.1_prot_WP_002395034.1_3182	lcl_NZ_CP040898.1_prot_WP_002377949.1_2563
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002379919.1_327	lcl_NZ_CP040898.1_prot_WP_002403780.1_2110,lcl_NZ_CP040898.1_prot_WP_114232969.1_1131
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002370667.1_448	lcl_NZ_CP040898.1_prot_WP_002370667.1_2586
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_010782977.1_132	lcl_NZ_CP040897.1_prot_WP_002400644.1_2931
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002377937.1_455	lcl_NZ_CP040898.1_prot_WP_002403100.1_2579
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002390607.1_1383	lcl_NZ_CP040898.1_prot_WP_139926624.1_2106
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002377931.1_449	lcl_NZ_CP040898.1_prot_WP_002377931.1_2585
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002365911.1_459	lcl_NZ_CP040898.1_prot_WP_002365911.1_2575
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_010774154.1_328	lcl_NZ_CP040898.1_prot_WP_114232968.1_1132,lcl_NZ_CP040898.1_prot_WP_139926627.1_2109
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_011109451.1_451	lcl_NZ_CP040898.1_prot_WP_104669503.1_2583
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002360796.1_454	lcl_NZ_CP040898.1_prot_WP_002360796.1_2580
GCA_006349345.1_HA-1	lcl_NC_004668.1_prot_WP_002377936.1_452	lcl_NZ_CP040898.1_prot_WP_002377936.1_2582
GCA_002355755.1_W11	lcl_NC_004668.1_prot_WP_002371667.1_2843	lcl_NZ_AP017623.1_prot_WP_096398072.1_2512
GCA_002355755.1_W11	lcl_NC_004668.1_prot_WP_002355647.1_714	lcl_NZ_AP017623.1_prot_WP_002355647.1_525
GCA_002355755.1_W11	lcl_NC_004668.1_prot_WP_002355913.1_930	lcl_NZ_AP017623.1_prot_WP_002355913.1_757,lcl_NZ_AP017623.1_prot_WP_002355918.1_762
GCA_002355755.1_W11	lcl_NC_004668.1_prot_WP_002361094.1_768	lcl_NZ_AP017623.1_prot_WP_096397997.1_2249,lcl_NZ_AP017623.1_prot_WP_002361094.1_586
GCA_002355755.1_W11	lcl_NC_004668.1_prot_WP_002379301.1_984	lcl_NZ_AP017623.1_prot_WP_002361578.1_818,lcl_NZ_AP017623.1_prot_WP_096397976.1_2130
GCA_002355755.1_W11	lcl_NC_004668.1_prot_WP_010706694.1_767	lcl_NZ_AP017623.1_prot_WP_096397580.1_585,lcl_NZ_AP017623.1_prot_WP_096397998.1_2250
GCA_002355755.1_W11	lcl_NC_004668.1_prot_WP_002355301.1_392	lcl_NZ_AP017623.1_prot_WP_011109446.1_326
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002359319.1_143	lcl_NC_004668.1_prot_WP_002394251.1_2327
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_010710133.1_465	lcl_NC_004669.1_prot_WP_010708485.1_3095
GCA_000007785.1_V583	lcl_NC_004669.1_prot_WP_021732893.1_3134	lcl_NC_004670.1_prot_WP_025193406.1_3211
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002379919.1_327	lcl_NC_004668.1_prot_WP_002367246.1_2588
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002360076.1_1754	lcl_NC_004668.1_prot_WP_002359815.1_2167
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002371667.1_2843	lcl_NC_004668.1_prot_WP_002368511.1_3002
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002360793.1_456	lcl_NC_004669.1_prot_WP_002360793.1_3103
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_011109430.1_134	lcl_NC_004671.1_prot_WP_002395058.1_3152,lcl_NC_004668.1_prot_WP_010710127.1_445
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002359295.1_126	lcl_NC_004668.1_prot_WP_010708073.1_2343
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002401419.1_453	lcl_NC_004669.1_prot_WP_002385554.1_3106
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_010706694.1_767	lcl_NC_004668.1_prot_WP_161797651.1_2751
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_011109451.1_451	lcl_NC_004669.1_prot_WP_010774159.1_3108
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002386531.1_142	lcl_NC_004668.1_prot_WP_002394252.1_2328
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002379301.1_984	lcl_NC_004668.1_prot_WP_010706835.1_2569
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002377937.1_455	lcl_NC_004669.1_prot_WP_002385553.1_3104
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002355647.1_714	lcl_NC_004668.1_prot_WP_002357053.1_1843
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002298800.1_1760	lcl_NC_004668.1_prot_WP_002359806.1_2174
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002298826.1_1747	lcl_NC_004668.1_prot_WP_002359820.1_2113
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002377936.1_452	lcl_NC_004669.1_prot_WP_010774160.1_3107
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002390607.1_1383	lcl_NC_004668.1_prot_WP_002359996.1_1927
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_010784266.1_133	lcl_NC_004669.1_prot_WP_010713023.1_3116
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002360796.1_454	lcl_NC_004669.1_prot_WP_002360796.1_3105
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_010714172.1_287	lcl_NC_004668.1_prot_WP_010785685.1_2627
GCA_000007785.1_V583	lcl_NC_004669.1_prot_WP_002387613.1_3092	lcl_NC_004671.1_prot_WP_002401695.1_3174
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002364326.1_447	lcl_NC_004669.1_prot_WP_002364326.1_3112
GCA_000007785.1_V583	lcl_NC_004668.1_prot_473	lcl_NC_004669.1_prot_WP_001015311.1_3082,lcl_NC_004668.1_prot_481,lcl_NC_004669.1_prot_WP_001015311.1_3079,lcl_NC_004670.1_prot_WP_016171117.1_3204,lcl_NC_004670.1_prot_WP_001015311.1_3209,lcl_NC_004669.1_prot_WP_001015311.1_3119,lcl_NC_004669.1_prot_WP_001015311.1_3085,lcl_NC_004669.1_prot_WP_001015311.1_3126
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002298798.1_1761	lcl_NC_004668.1_prot_WP_002383555.1_2175
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002355301.1_392	lcl_NC_004668.1_prot_WP_002383567.1_2098
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002298822.1_1751	lcl_NC_004668.1_prot_WP_002298822.1_2165
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002377939.1_460	lcl_NC_004669.1_prot_WP_011109606.1_3100
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002365911.1_459	lcl_NC_004669.1_prot_WP_002365911.1_3101
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002359289.1_120	lcl_NC_004668.1_prot_WP_010708071.1_2349
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002370667.1_448	lcl_NC_004669.1_prot_WP_002370667.1_3111
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_000195429.1_112	lcl_NC_004671.1_prot_WP_000195429.1_3189,lcl_NC_004669.1_prot_WP_000195429.1_3122,lcl_NC_004668.1_prot_WP_000195429.1_2432,lcl_NC_004668.1_prot_WP_000195429.1_2027,lcl_NC_004668.1_prot_WP_000195429.1_488,lcl_NC_004668.1_prot_WP_000195429.1_2865,lcl_NC_004670.1_prot_WP_000195429.1_3206,lcl_NC_004668.1_prot_WP_000195429.1_2970,lcl_NC_004669.1_prot_WP_000195429.1_3125
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_010714280.1_446	lcl_NC_004671.1_prot_WP_002367672.1_3153,lcl_NC_004669.1_prot_WP_002379922.1_3113
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_010782977.1_132	lcl_NC_004671.1_prot_3150,lcl_NC_004669.1_prot_WP_002365956.1_3117
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002360791.1_457	lcl_NC_004669.1_prot_WP_002360791.1_3102
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002355913.1_930	lcl_NC_004668.1_prot_WP_002355918.1_935
GCA_000007785.1_V583	lcl_NC_004669.1_prot_WP_010708491.1_3135	lcl_NC_004670.1_prot_WP_025189012.1_3212
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002359290.1_121	lcl_NC_004668.1_prot_WP_002365222.1_2348
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_010774154.1_328	lcl_NC_004668.1_prot_WP_002415467.1_2587
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_000997695.1_335	lcl_NC_004668.1_prot_WP_000997695.1_549,lcl_NC_004668.1_prot_WP_000997695.1_2025,lcl_NC_004668.1_prot_WP_000997695.1_2585,lcl_NC_004668.1_prot_WP_000997695.1_2013
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002377940.1_462	lcl_NC_004669.1_prot_WP_011109604.1_3098
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002377931.1_449	lcl_NC_004669.1_prot_WP_002365963.1_3110
GCA_000007785.1_V583	lcl_NC_004671.1_prot_WP_002406534.1_3197	lcl_NC_004670.1_prot_WP_002387550.1_3216
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002359288.1_119	lcl_NC_004668.1_prot_WP_002365226.1_2350
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002359287.1_118	lcl_NC_004668.1_prot_WP_010708070.1_2351
GCA_000007785.1_V583	lcl_NC_004671.1_prot_WP_002395034.1_3182	lcl_NC_004668.1_prot_WP_002377949.1_470
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_002359299.1_130	lcl_NC_004668.1_prot_WP_010708075.1_2338
GCA_000007785.1_V583	lcl_NC_004668.1_prot_WP_033628631.1_450	lcl_NC_004669.1_prot_WP_162781820.1_3109
