seq_id,locus_tag,origin,strand,start,end,gene,pseudo,prot_id,prot_name,annot
lcl_NZ_CP013994.1_prot_WP_002293880.1_986 ,AWJ25_RS05115,NZ_CP013994.1,+,1005606,1006388,rpsB,false,WP_002293880.1,"30S ribosomal protein S2","n.a"
lcl_NZ_CP013994.1_prot_WP_002294400.1_1609 ,AWJ25_RS08240,NZ_CP013994.1,-,1653663,1654400,n.a,false,WP_002294400.1,"thioesterase","n.a"
lcl_NZ_CP013994.1_prot_WP_002287139.1_437 ,AWJ25_RS02205,NZ_CP013994.1,+,455718,456425,n.a,false,WP_002287139.1,"zinc metallopeptidase","n.a"
lcl_NZ_CP013994.1_prot_WP_010729346.1_1176 ,AWJ25_RS06045,NZ_CP013994.1,+,1212991,1213392,n.a,false,WP_010729346.1,"sigma_70 family RNA polymerase sigma factor","n.a"
lcl_NZ_CP013994.1_prot_WP_002288886.1_1355 ,AWJ25_RS06950,NZ_CP013994.1,-,1389907,1390548,n.a,false,WP_002288886.1,"HD domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002288500.1_997 ,AWJ25_RS05170,NZ_CP013994.1,+,1020790,1021965,nusA,false,WP_002288500.1,"transcription termination/antitermination protein NusA","n.a"
lcl_NZ_CP013994.1_prot_WP_002285948.1_2565 ,AWJ25_RS13235,NZ_CP013994.1,-,2671693,2672007,n.a,false,WP_002285948.1,"PTS cellobiose transporter subunit IIB","n.a"
lcl_NZ_CP013994.1_prot_WP_002293786.1_2085 ,AWJ25_RS10775,NZ_CP013994.1,-,2124239,2124919,n.a,false,WP_002293786.1,"ABC transporter permease","n.a"
lcl_NZ_CP013994.1_prot_WP_002289767.1_1552 ,AWJ25_RS07955,NZ_CP013994.1,-,1596397,1596684,n.a,false,WP_002289767.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002297190.1_793 ,AWJ25_RS04105,NZ_CP013994.1,+,825597,826388,n.a,false,WP_002297190.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002296769.1_2353 ,AWJ25_RS12140,NZ_CP013994.1,-,2428482,2429771,n.a,false,WP_002296769.1,"PTS sugar transporter subunit IIC","n.a"
lcl_NZ_CP013995.1_prot_WP_002290380.1_2955 ,AWJ25_RS18300,NZ_CP013995.1,-,135780,136151,n.a,false,WP_002290380.1,"glyoxalase","n.a"
lcl_NZ_CP013994.1_prot_WP_002294589.1_279 ,AWJ25_RS01390,NZ_CP013994.1,+,279947,280636,n.a,false,WP_002294589.1,"TVP38/TMEM64 family protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002311774.1_2447 ,AWJ25_RS12625,NZ_CP013994.1,-,2529328,2530287,n.a,false,WP_002311774.1,"IS30 family transposase","n.a"
lcl_NZ_CP013994.1_prot_WP_002293644.1_2484 ,AWJ25_RS12815,NZ_CP013994.1,-,2570053,2570928,n.a,false,WP_002293644.1,"YitT family protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002289071.1_1779 ,AWJ25_RS09205,NZ_CP013994.1,-,1846953,1847993,n.a,false,WP_002289071.1,"glycosyltransferase family 2 protein","n.a"
lcl_NZ_CP013995.1_prot_WP_002305780.1_3113 ,AWJ25_RS16200,NZ_CP013995.1,-,281650,283740,n.a,false,WP_002305780.1,"isopeptide_forming domain_containing fimbrial protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002296876.1_1427 ,AWJ25_RS07315,NZ_CP013994.1,-,1464428,1465084,n.a,false,WP_002296876.1,"amino acid ABC transporter permease","n.a"
lcl_NZ_CP013994.1_prot_WP_002287541.1_2358 ,AWJ25_RS12170,NZ_CP013994.1,-,2435002,2435871,mdcB,false,WP_002287541.1,"triphosphoribosyl_dephospho_CoA synthase MdcB","n.a"
lcl_NZ_CP013994.1_prot_WP_022278534.1_1023 ,AWJ25_RS05295,NZ_CP013994.1,-,1047337,1047756,n.a,false,WP_022278534.1,"sigma_70 family RNA polymerase sigma factor","n.a"
lcl_NZ_CP013994.1_prot_WP_002288952.1_2477 ,AWJ25_RS12780,NZ_CP013994.1,-,2558408,2561602,n.a,false,WP_002288952.1,"DEAD/DEAH box helicase","n.a"
lcl_NZ_CP013994.1_prot_WP_002303062.1_1346 ,AWJ25_RS06905,NZ_CP013994.1,-,1379972,1381135,n.a,false,WP_002303062.1,"LCP family protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002285906.1_2582 ,AWJ25_RS13310,NZ_CP013994.1,+,2694660,2695226,n.a,false,WP_002285906.1,"methyltransferase domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002296128.1_674 ,AWJ25_RS03480,NZ_CP013994.1,+,693185,694210,n.a,false,WP_002296128.1,"NAD(P)H_dependent glycerol_3_phosphate dehydrogenase","n.a"
lcl_NZ_CP013994.1_prot_WP_002298064.1_499 ,AWJ25_RS02570,NZ_CP013994.1,+,519251,520666,n.a,false,WP_002298064.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_010729315.1_1143 ,AWJ25_RS05875,NZ_CP013994.1,+,1180438,1180803,n.a,false,WP_010729315.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002293121.1_2809 ,AWJ25_RS14640,NZ_CP013994.1,-,2966253,2966387,rpmH,false,WP_002293121.1,"50S ribosomal protein L34","n.a"
lcl_NZ_CP013994.1_prot_WP_002290440.1_52 ,AWJ25_RS00260,NZ_CP013994.1,+,57528,57998,rpsG,false,WP_002290440.1,"30S ribosomal protein S7","n.a"
lcl_NZ_CP013994.1_prot_WP_002286638.1_1883 ,AWJ25_RS09740,NZ_CP013994.1,-,1935514,1936875,n.a,false,WP_002286638.1,"UDP_N_acetylmuramoyl_L_alanine__D_glutamate ligase","n.a"
lcl_NZ_CP013994.1_prot_WP_002297218.1_359 ,AWJ25_RS01805,NZ_CP013994.1,+,369355,370650,n.a,false,WP_002297218.1,"ISL3_like element ISEfa11 family transposase","n.a"
lcl_NZ_CP013995.1_prot_WP_002290379.1_2954 ,AWJ25_RS15405,NZ_CP013995.1,-,134225,135496,n.a,false,WP_002290379.1,"excinuclease ABC subunit A","n.a"
lcl_NZ_CP013994.1_prot_WP_059355943.1_764 ,AWJ25_RS03950,NZ_CP013994.1,+,794049,796205,copB,false,WP_059355943.1,"copper/silver_translocating P_type ATPase CopB","n.a"
lcl_NZ_CP013994.1_prot_WP_002289470.1_1643 ,AWJ25_RS08415,NZ_CP013994.1,-,1696512,1697261,n.a,false,WP_002289470.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002288501.1_998 ,AWJ25_RS05175,NZ_CP013994.1,+,1021987,1022280,n.a,false,WP_002288501.1,"YlxR family protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002293716.1_794 ,AWJ25_RS04110,NZ_CP013994.1,+,826558,827079,rimM,false,WP_002293716.1,"ribosome maturation factor RimM","n.a"
lcl_NZ_CP013994.1_prot_WP_002289185.1_1385 ,AWJ25_RS07105,NZ_CP013994.1,-,1421414,1422097,n.a,false,WP_002289185.1,"HD domain_containing protein","n.a"
lcl_NZ_CP013995.1_prot_WP_059355957.1_3108 ,AWJ25_RS16175,NZ_CP013995.1,-,278019,278321,n.a,false,WP_059355957.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002287134.1_434 ,AWJ25_RS02190,NZ_CP013994.1,+,452882,454213,n.a,false,WP_002287134.1,"CBS domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_1761 ,AWJ25_RS09115,NZ_CP013994.1,+,,1829461,n.a,true,n.a,"ISL3 family transposase","n.a"
lcl_NZ_CP013994.1_prot_WP_002296173.1_2074 ,AWJ25_RS10720,NZ_CP013994.1,-,2110674,2111735,n.a,false,WP_002296173.1,"DUF871 domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002287385.1_2607 ,AWJ25_RS13580,NZ_CP013994.1,-,2734864,2735373,mreD,false,WP_002287385.1,"rod shape_determining protein MreD","n.a"
lcl_NZ_CP013994.1_prot_WP_002298048.1_507 ,AWJ25_RS02610,NZ_CP013994.1,+,525742,526113,n.a,false,WP_002298048.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002286385.1_2306 ,AWJ25_RS11905,NZ_CP013994.1,-,2374377,2375744,nhaC,false,WP_002286385.1,"Na+/H+ antiporter NhaC","n.a"
lcl_NZ_CP013994.1_prot_WP_002303183.1_2522 ,AWJ25_RS13020,NZ_CP013994.1,-,2615128,2616438,n.a,false,WP_002303183.1,"glycoside hydrolase family 28","n.a"
lcl_NZ_CP013994.1_prot_WP_002312617.1_2452 ,AWJ25_RS12650,NZ_CP013994.1,-,2535366,2535662,n.a,false,WP_002312617.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002287014.1_2016 ,AWJ25_RS10430,NZ_CP013994.1,-,2051845,2052975,n.a,false,WP_002287014.1,"5_methyltetrahydropteroyltriglutamate__homocysteine S_methyltransferase","n.a"
lcl_NZ_CP013994.1_prot_WP_002286373.1_2302 ,AWJ25_RS11885,NZ_CP013994.1,+,2369103,2371397,n.a,false,WP_002286373.1,"glycoside hydrolase family 65 protein","n.a"
lcl_NZ_CP013994.1_prot_WP_010782556.1_695 ,AWJ25_RS03590,NZ_CP013994.1,+,716105,717991,n.a,false,WP_010782556.1,"PTS beta_glucoside transporter subunit EIIBCA","n.a"
lcl_NZ_CP013994.1_prot_WP_002289744.1_157 ,AWJ25_RS00790,NZ_CP013994.1,-,157962,158285,n.a,false,WP_002289744.1,"DUF960 domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002313258.1_2424 ,AWJ25_RS12495,NZ_CP013994.1,-,2505624,2505881,n.a,false,WP_002313258.1,"GTP pyrophosphokinase","n.a"
lcl_NZ_CP013994.1_prot_WP_002287126.1_427 ,AWJ25_RS02155,NZ_CP013994.1,+,445366,446550,iadA,false,WP_002287126.1,"beta_aspartyl_peptidase","n.a"
lcl_NZ_CP013994.1_prot_WP_002304012.1_36 ,AWJ25_RS00180,NZ_CP013994.1,+,41826,42431,n.a,false,WP_002304012.1,"class I SAM_dependent methyltransferase","n.a"
lcl_NZ_CP013994.1_prot_WP_002289451.1_1966 ,AWJ25_RS10170,NZ_CP013994.1,-,1999893,2000237,n.a,false,WP_002289451.1,"ribosomal_processing cysteine protease Prp","n.a"
lcl_NZ_CP013996.1_prot_WP_000947691.1_3258 ,AWJ25_RS16925,NZ_CP013996.1,+,32638,34131,n.a,false,WP_000947691.1,"replication protein RepR","n.a"
lcl_NZ_CP013994.1_prot_WP_002294486.1_2560 ,AWJ25_RS13210,NZ_CP013994.1,+,2665879,2667384,n.a,false,WP_002294486.1,"UDP_N_acetylmuramoyl_L_alanyl_D_glutamate__L_lysine ligase","n.a"
lcl_NZ_CP013994.1_prot_WP_010729636.1_2308 ,AWJ25_RS11915,NZ_CP013994.1,-,2377517,2379394,tdc,false,WP_010729636.1,"tyrosine decarboxylase","n.a"
lcl_NZ_CP013994.1_prot_WP_002288559.1_2110 ,AWJ25_RS10905,NZ_CP013994.1,-,2152082,2152840,n.a,false,WP_002288559.1,"WxL domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002287397.1_2602 ,AWJ25_RS13555,NZ_CP013994.1,+,2728260,2729660,n.a,false,WP_002287397.1,"L;D_transpeptidase family protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002287264.1_348 ,AWJ25_RS01750,NZ_CP013994.1,+,356151,357020,n.a,false,WP_002287264.1,"extradiol dioxygenase","n.a"
lcl_NZ_CP013995.1_prot_WP_002300034.1_3112 ,AWJ25_RS16195,NZ_CP013995.1,+,279557,281614,n.a,false,WP_002300034.1,"serine protease","n.a"
lcl_NZ_CP013994.1_prot_WP_002348958.1_681 ,AWJ25_RS03515,NZ_CP013994.1,+,699460,699711,n.a,false,WP_002348958.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002292768.1_658 ,AWJ25_RS03400,NZ_CP013994.1,+,677977,678663,ftsE,false,WP_002292768.1,"cell division ATP_binding protein FtsE","n.a"
lcl_NZ_CP013994.1_prot_WP_002294546.1_1905 ,AWJ25_RS09850,NZ_CP013994.1,-,1954414,1955217,n.a,false,WP_002294546.1,"PTS mannose/fructose/sorbose transporter subunit IIC","n.a"
lcl_NZ_CP013995.1_prot_WP_001224538.1_2835 ,AWJ25_RS14770,NZ_CP013995.1,+,24018,24635,n.a,false,WP_001224538.1,"recombinase family protein","n.a"
lcl_NZ_CP013995.1_prot_WP_002292680.1_3213 ,AWJ25_RS16700,NZ_CP013995.1,+,374943,375800,n.a,false,WP_002292680.1,"ParA family protein","n.a"
lcl_NZ_CP013995.1_prot_WP_002290367.1_2945 ,AWJ25_RS15360,NZ_CP013995.1,-,123037,125220,n.a,false,WP_002290367.1,"alpha_galactosidase","n.a"
lcl_NZ_CP013994.1_prot_WP_002296599.1_1939 ,AWJ25_RS10035,NZ_CP013994.1,-,1987272,1987553,n.a,false,WP_002296599.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002289114.1_1457 ,AWJ25_RS07475,NZ_CP013994.1,-,1493832,1494752,n.a,false,WP_002289114.1,"YitT family protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002305724.1_954 ,AWJ25_RS04955,NZ_CP013994.1,+,975317,977212,asnB,false,WP_002305724.1,"asparagine synthase (glutamine_hydrolyzing)","n.a"
lcl_NZ_CP013996.1_prot_WP_000754864.1_3230 ,AWJ25_RS16780,NZ_CP013996.1,-,6912,7241,n.a,false,WP_000754864.1,"helix_turn_helix transcriptional regulator","n.a"
lcl_NZ_CP013994.1_prot_WP_002332818.1_2726 ,AWJ25_RS14165,NZ_CP013994.1,-,2867344,2867778,n.a,false,WP_002332818.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002286664.1_1900 ,AWJ25_RS09825,NZ_CP013994.1,-,1950731,1951156,n.a,false,WP_002286664.1,"Asp23/Gls24 family envelope stress response protein","n.a"
lcl_NZ_CP013995.1_prot_WP_016922504.1_3173 ,AWJ25_RS16510,NZ_CP013995.1,-,332643,334337,n.a,false,WP_016922504.1,"ATPase","n.a"
lcl_NZ_CP013994.1_prot_WP_002288779.1_759 ,AWJ25_RS03925,NZ_CP013994.1,+,788735,790201,n.a,false,WP_002288779.1,"amino acid permease","n.a"
lcl_NZ_CP013996.1_prot_WP_002305147.1_3238 ,AWJ25_RS16820,NZ_CP013996.1,+,14595,15248,n.a,false,WP_002305147.1,"restriction endonuclease subunit M","n.a"
lcl_NZ_CP013994.1_prot_WP_002296996.1_1567 ,AWJ25_RS08030,NZ_CP013994.1,-,1613002,1613436,n.a,false,WP_002296996.1,"CoA_binding protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002295975.1_2757 ,AWJ25_RS14320,NZ_CP013994.1,-,2893565,2894008,rplM,false,WP_002295975.1,"50S ribosomal protein L13","n.a"
lcl_NZ_CP013994.1_prot_WP_002289273.1_1632 ,AWJ25_RS08355,NZ_CP013994.1,+,1682127,1682978,n.a,false,WP_002289273.1,"aldo/keto reductase","n.a"
lcl_NZ_CP013994.1_prot_WP_002289453.1_1908 ,AWJ25_RS09865,NZ_CP013994.1,-,1957024,1959858,n.a,false,WP_002289453.1,"sigma_54_dependent transcriptional regulator","n.a"
lcl_NZ_CP013995.1_prot_WP_002301195.1_2811 ,AWJ25_RS14650,NZ_CP013995.1,+,657,2033,n.a,false,WP_002301195.1,"ABC transporter permease","n.a"
lcl_NZ_CP013994.1_prot_WP_002296336.1_2441 ,AWJ25_RS12590,NZ_CP013994.1,-,2523275,2523694,n.a,false,WP_002296336.1,"cupin domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002286772.1_2189 ,AWJ25_RS11300,NZ_CP013994.1,-,2241844,2242737,n.a,false,WP_002286772.1,"class C sortase","n.a"
lcl_NZ_CP013994.1_prot_WP_002321996.1_1962 ,AWJ25_RS10150,NZ_CP013994.1,+,1997575,1997970,n.a,false,WP_002321996.1,"ImmA/IrrE family metallo_endopeptidase","n.a"
lcl_NZ_CP013994.1_prot_WP_002304429.1_1842 ,AWJ25_RS09525,NZ_CP013994.1,-,1900095,1900364,n.a,false,WP_002304429.1,"hypothetical protein","n.a"
lcl_NZ_CP013995.1_prot_3205 ,AWJ25_RS16660,NZ_CP013995.1,+,,368771,n.a,true,n.a,"helix_turn_helix domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002287044.1_2038 ,AWJ25_RS10540,NZ_CP013994.1,+,2075229,2075966,n.a,false,WP_002287044.1,"phosphopantothenate__cysteine ligase","n.a"
lcl_NZ_CP013994.1_prot_WP_002288256.1_197 ,AWJ25_RS00990,NZ_CP013994.1,+,202911,204206,n.a,false,WP_002288256.1,"TRAP transporter large permease","n.a"
lcl_NZ_CP013994.1_prot_WP_002288353.1_1136 ,AWJ25_RS05840,NZ_CP013994.1,-,1169669,1170889,n.a,false,WP_002288353.1,"GNAT family N_acetyltransferase","n.a"
lcl_NZ_CP013994.1_prot_WP_002289511.1_411 ,AWJ25_RS02075,NZ_CP013994.1,-,424320,426083,n.a,false,WP_002289511.1,"ABC transporter ATP_binding protein","n.a"
lcl_NZ_CP013996.1_prot_WP_001079843.1_3226 ,AWJ25_RS16760,NZ_CP013996.1,+,3004,4035,vanA,false,WP_001079843.1,"D_alanine__(R)_lactate ligase VanA","n.a"
lcl_NZ_CP013995.1_prot_WP_002324499.1_2868 ,AWJ25_RS14945,NZ_CP013995.1,+,50390,50596,n.a,false,WP_002324499.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002294548.1_266 ,AWJ25_RS01325,NZ_CP013994.1,+,270792,271295,n.a,false,WP_002294548.1,"QueT transporter family protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002289378.1_2782 ,AWJ25_RS14445,NZ_CP013994.1,-,2928020,2928586,n.a,false,WP_002289378.1,"Gx transporter family protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002290970.1_1683 ,AWJ25_RS08725,NZ_CP013994.1,-,1744140,1744319,rpmF,false,WP_002290970.1,"50S ribosomal protein L32","n.a"
lcl_NZ_CP013995.1_prot_WP_010731480.1_2980 ,AWJ25_RS15540,NZ_CP013995.1,-,160275,161048,n.a,false,WP_010731480.1,"DeoR/GlpR transcriptional regulator","n.a"
lcl_NZ_CP013994.1_prot_WP_002287295.1_326 ,AWJ25_RS01635,NZ_CP013994.1,+,329835,331106,n.a,false,WP_002287295.1,"ABC transporter substrate_binding protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002287145.1_441 ,AWJ25_RS02225,NZ_CP013994.1,+,460454,461824,n.a,false,WP_002287145.1,"NOL1/NOP2/sun family putative RNA methylase","n.a"
lcl_NZ_CP013994.1_prot_WP_002287824.1_1057 ,AWJ25_RS05440,NZ_CP013994.1,+,1081720,1083075,n.a,false,WP_002287824.1,"phosphoglucosamine mutase","n.a"
lcl_NZ_CP013994.1_prot_WP_002302440.1_1220 ,AWJ25_RS06265,NZ_CP013994.1,-,1250883,1252184,n.a,false,WP_002302440.1,"ISL3 family transposase","n.a"
lcl_NZ_CP013994.1_prot_WP_002348661.1_716 ,AWJ25_RS03695,NZ_CP013994.1,+,740206,742281,n.a,false,WP_002348661.1,"glycine__tRNA ligase subunit beta","n.a"
lcl_NZ_CP013995.1_prot_WP_002287659.1_3035 ,AWJ25_RS15810,NZ_CP013995.1,+,209809,210162,tnpB,false,WP_002287659.1,"IS66 family insertion sequence element accessory protein TnpB","n.a"
lcl_NZ_CP013994.1_prot_WP_002296623.1_244 ,AWJ25_RS01215,NZ_CP013994.1,-,246976,248271,n.a,false,WP_002296623.1,"ISL3 family transposase","n.a"
lcl_NZ_CP013994.1_prot_WP_002347164.1_1814 ,AWJ25_RS09380,NZ_CP013994.1,-,1880346,1883105,n.a,false,WP_002347164.1,"CHAP domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002295809.1_1411 ,AWJ25_RS07235,NZ_CP013994.1,-,1448111,1449052,n.a,false,WP_002295809.1,"ribonuclease Z","n.a"
lcl_NZ_CP013994.1_prot_WP_002303698.1_2693 ,AWJ25_RS14010,NZ_CP013994.1,-,2826833,2827513,n.a,false,WP_002303698.1,"response regulator transcription factor","n.a"
lcl_NZ_CP013994.1_prot_WP_002303367.1_611 ,AWJ25_RS03145,NZ_CP013994.1,-,632626,633456,n.a,false,WP_002303367.1,"lipoate__protein ligase family protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002302827.1_154 ,AWJ25_RS00775,NZ_CP013994.1,+,152634,154625,n.a,false,WP_002302827.1,"potassium transporter Kup","n.a"
lcl_NZ_CP013994.1_prot_WP_002295085.1_584 ,AWJ25_RS03010,NZ_CP013994.1,-,603200,604117,n.a,false,WP_002295085.1,"ribonuclease HIII","n.a"
lcl_NZ_CP013994.1_prot_WP_002296053.1_2591 ,AWJ25_RS13500,NZ_CP013994.1,-,2714352,2715239,n.a,false,WP_002296053.1,"Hsp33 family molecular chaperone HslO","n.a"
lcl_NZ_CP013994.1_prot_WP_002288461.1_966 ,AWJ25_RS05015,NZ_CP013994.1,+,985433,985828,n.a,false,WP_002288461.1,"rhodanese_like domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002286065.1_1320 ,AWJ25_RS06775,NZ_CP013994.1,+,1347841,1348827,n.a,false,WP_002286065.1,"DUF2382 domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002288462.1_965 ,AWJ25_RS05010,NZ_CP013994.1,+,984453,985415,n.a,false,WP_002288462.1,"ROK family glucokinase","n.a"
lcl_NZ_CP013995.1_prot_WP_010731484.1_2974 ,AWJ25_RS15510,NZ_CP013995.1,-,155107,156240,n.a,false,WP_010731484.1,"ATP_binding protein","n.a"
lcl_NZ_CP013994.1_prot_1054 ,AWJ25_RS05425,NZ_CP013994.1,+,1075762,1079454,nifJ,true,n.a,"pyruvate:ferredoxin (flavodoxin) oxidoreductase","n.a"
lcl_NZ_CP013994.1_prot_WP_002304464.1_479 ,AWJ25_RS02460,NZ_CP013994.1,-,507744,507974,n.a,false,WP_002304464.1,"DUF2188 domain_containing protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002287569.1_2376 ,AWJ25_RS12260,NZ_CP013994.1,+,2456277,2456405,n.a,false,WP_002287569.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002311649.1_857 ,AWJ25_RS04440,NZ_CP013994.1,+,875404,875748,n.a,false,WP_002311649.1,"hypothetical protein","n.a"
lcl_NZ_CP013994.1_prot_WP_002294466.1_1011 ,AWJ25_RS05235,NZ_CP013994.1,+,1035821,1036303,n.a,false,WP_002294466.1,"prolyl_tRNA editing protein","n.a"
lcl_NZ_CP013994.1_prot_829 ,AWJ25_RS04295,NZ_CP013994.1,+,,850408,n.a,true,n.a,"terminase large subunit","n.a"
lcl_NZ_CP013994.1_prot_WP_002294391.1_1613 ,AWJ25_RS08260,NZ_CP013994.1,-,1658972,1659688,n.a,false,WP_002294391.1,"rRNA pseudouridine synthase","n.a"
lcl_NZ_CP013994.1_prot_WP_002294157.1_229 ,AWJ25_RS01150,NZ_CP013994.1,+,234269,235687,pepV,false,WP_002294157.1,"dipeptidase PepV","n.a"
lcl_NZ_CP013994.1_prot_WP_002304776.1_2482 ,AWJ25_RS12805,NZ_CP013994.1,+,2567545,2567829,n.a,false,WP_002304776.1,"hypothetical protein","n.a"
