locus_tag,origin,strand,start,end,gene,pseudo,prot_id,prot_name,annot
NWMN_RS06235,NC_009641.1,+,1205419,1206225,n.a,false,WP_000232507.1,"RNA_binding protein","n.a"
NWMN_RS00815,NC_009641.1,-,189672,190298,n.a,false,WP_001151451.1,"FMN_dependent NADH_azoreductase","n.a"
NWMN_RS10305,NC_009641.1,-,2009682,2010083,n.a,false,WP_000695747.1,"hypothetical protein","n.a"
NWMN_RS00145,NC_009641.1,+,34713,36458,n.a,false,WP_000700190.1,"hypothetical protein","n.a"
NWMN_RS01130,NC_009641.1,+,259653,259787,n.a,false,WP_001789860.1,"hypothetical protein","n.a"
NWMN_RS01075,NC_009641.1,+,248703,250427,n.a,false,WP_000975359.1,"glycosyltransferase family 2 protein","n.a"
NWMN_RS12780,NC_009641.1,+,2437450,2437779,n.a,false,WP_000606726.1,"hypothetical protein","n.a"
NWMN_RS08755,NC_009641.1,-,1727560,1728846,n.a,false,WP_001270868.1,"glutamate_1_semialdehyde 2;1_aminomutase","n.a"
NWMN_RS01905,NC_009641.1,+,385619,386473,n.a,false,WP_000737196.1,"EfeM/EfeO family lipoprotein","n.a"
NWMN_RS06395,NC_009641.1,+,1241909,1242550,n.a,false,WP_000547905.1,"thiamine diphosphokinase","n.a"
NWMN_RS09335,NC_009641.1,-,1859282,1860784,n.a,false,WP_001261677.1,"pyridine nucleotide_disulfide oxidoreductase","n.a"
NWMN_RS14355,NC_009641.1,-,2747006,2748343,n.a,false,WP_000030057.1,"aspartate aminotransferase family protein","n.a"
NWMN_RS10535,NC_009641.1,-,2039434,2040504,dinB,false,WP_000140176.1,"DNA polymerase IV","n.a"
NWMN_RS14430,NC_009641.1,-,2762755,2762865,n.a,false,WP_001790600.1,"hypothetical protein","n.a"
NWMN_RS03420,NC_009641.1,+,678669,680711,n.a,false,WP_000402172.1,"sodium:proton antiporter","n.a"
NWMN_RS10230,NC_009641.1,-,2002144,2002314,n.a,false,WP_000072207.1,"hypothetical protein","n.a"
NWMN_RS08175,NC_009641.1,-,1617141,1617764,n.a,false,WP_001223008.1,"MBL fold metallo_hydrolase","n.a"
NWMN_RS05920,NC_009641.1,+,1149908,1150231,isdG,false,WP_000670950.1,"staphylobilin_forming heme oxygenase IsdG","n.a"
NWMN_RS09255,NC_009641.1,-,1838438,1844998,sasC,false,WP_001050548.1,"LPXTG_anchored repetitive surface protein SasC","n.a"
NWMN_RS14340,NC_009641.1,-,2743830,2744789,n.a,false,WP_000846637.1,"L_lactate dehydrogenase","n.a"
NWMN_RS04795,NC_009641.1,-,947449,947634,n.a,false,WP_000682089.1,"YjzD family protein","n.a"
NWMN_RS01945,NC_009641.1,+,392094,392936,n.a,false,WP_000209565.1,"ABC transporter ATP_binding protein","n.a"
NWMN_RS08495,NC_009641.1,-,1675664,1676398,pxpB,false,WP_000383180.1,"5_oxoprolinase subunit PxpB","n.a"
NWMN_RS11840,NC_009641.1,+,2268233,2269324,n.a,false,WP_000495671.1,"lytic regulatory protein","n.a"
NWMN_RS06705,NC_009641.1,+,1312786,1313613,n.a,false,WP_000214890.1,"YmfK family protein","n.a"
NWMN_RS00575,NC_009641.1,+,127351,128460,n.a,false,WP_001221639.1,"glycosyltransferase","n.a"
NWMN_RS14365,NC_009641.1,+,2749140,2750030,n.a,false,WP_001031413.1,"fructose bisphosphate aldolase","n.a"
NWMN_RS07345,NC_009641.1,+,1436783,1437988,n.a,false,WP_000258712.1,"aspartate kinase","n.a"
NWMN_RS13535,NC_009641.1,-,2582734,2583333,n.a,false,WP_001291519.1,"hypothetical protein","n.a"
NWMN_RS04055,NC_009641.1,-,803094,803735,n.a,false,WP_000192947.1,"YigZ family protein","n.a"
NWMN_RS14015,NC_009641.1,-,2682470,2683159,n.a,false,WP_001001019.1,"LrgB family protein","n.a"
NWMN_RS11070,NC_009641.1,-,2127540,2127755,n.a,false,WP_001025874.1,"DUF2829 domain_containing protein","n.a"
NWMN_RS04390,NC_009641.1,+,867250,867363,n.a,false,WP_000660172.1,"hypothetical protein","n.a"
NWMN_RS04745,NC_009641.1,-,935610,936434,n.a,false,WP_001182436.1,"Cof_type HAD_IIB family hydrolase","n.a"
NWMN_RS01370,NC_009641.1,-,301906,303213,brnQ,false,WP_000745099.1,"branched_chain amino acid transport system II carrier protein","n.a"
NWMN_RS15735,NC_009641.1,-,1791226,1791342,n.a,true,n.a,"hypothetical protein","n.a"
NWMN_RS08995,NC_009641.1,+,1781592,1782092,n.a,false,WP_000634175.1,"universal stress protein","n.a"
NWMN_RS08065,NC_009641.1,-,1599947,1601284,n.a,false,WP_001286928.1,"exodeoxyribonuclease VII large subunit","n.a"
NWMN_RS11575,NC_009641.1,-,2221365,2221760,n.a,false,WP_000932694.1,"single_stranded DNA_binding protein","n.a"
NWMN_RS02880,NC_009641.1,+,569004,569408,n.a,false,WP_000370182.1,"Mini_ribonuclease 3","n.a"
NWMN_RS02295,NC_009641.1,+,455700,456500,lpl4,false,WP_031873536.1,"tandem_type lipoprotein Lpl4","n.a"
NWMN_RS09585,NC_009641.1,-,1903493,1904209,splA,false,WP_001039423.1,"serine protease SplA","n.a"
NWMN_RS01585,NC_009641.1,+,333829,334230,n.a,false,WP_000695747.1,"hypothetical protein","n.a"
NWMN_RS07295,NC_009641.1,+,1425782,1427596,pepF,false,WP_000077571.1,"oligoendopeptidase F","n.a"
NWMN_RS08165,NC_009641.1,-,1615073,1616143,n.a,false,WP_000775708.1,"type II secretion system F family protein","n.a"
NWMN_RS02055,NC_009641.1,+,412612,412980,n.a,false,WP_000849177.1,"YxeA family protein","n.a"
NWMN_RS10655,NC_009641.1,-,2066032,2067594,n.a,false,WP_000323161.1,"SLC13 family permease","n.a"
NWMN_RS03315,NC_009641.1,+,659531,661192,n.a,false,WP_001021145.1,"arginine__tRNA ligase","n.a"
NWMN_RS02575,NC_009641.1,+,514288,514536,n.a,false,WP_000377064.1,"GIY_YIG nuclease family protein","n.a"
NWMN_RS05445,NC_009641.1,-,1078326,1078940,n.a,false,WP_000170610.1,"DUF1054 family protein","n.a"
NWMN_RS02595,NC_009641.1,+,517666,518439,n.a,false,WP_000904312.1,"TatD family hydrolase","n.a"
NWMN_RS10715,NC_009641.1,-,2078178,2078702,n.a,false,WP_000966288.1,"membrane protein","n.a"
NWMN_RS02160,NC_009641.1,-,431096,431632,n.a,false,WP_000551776.1,"hypothetical protein","n.a"
NWMN_RS03735,NC_009641.1,+,739969,741522,n.a,false,WP_001288049.1,"DASS family sodium_coupled anion symporter","n.a"
NWMN_RS00480,NC_009641.1,-,107296,108096,phnE,false,WP_001127689.1,"phosphonate ABC transporter; permease protein PhnE","n.a"
NWMN_RS00160,NC_009641.1,-,37219,37974,n.a,false,WP_000355845.1,"sulfite exporter TauE/SafE family protein","n.a"
NWMN_RS06145,NC_009641.1,+,1188408,1188542,n.a,false,WP_000398672.1,"beta_class phenol_soluble modulin","n.a"
NWMN_RS10850,NC_009641.1,-,2096155,2096307,n.a,false,WP_001153681.1,"hypothetical protein","n.a"
NWMN_RS09640,NC_009641.1,-,1915473,1915616,n.a,false,WP_000416759.1,"gallidermin/nisin family lantibiotic","n.a"
NWMN_RS08985,NC_009641.1,-,1780111,1780209,n.a,false,WP_001789984.1,"hypothetical protein","n.a"
NWMN_RS15575,NC_009641.1,-,2546744,2546926,n.a,false,WP_001789932.1,"hypothetical protein","n.a"
NWMN_RS13150,NC_009641.1,-,2511340,2511705,n.a,false,WP_000727537.1,"DUF3139 domain_containing protein","n.a"
NWMN_RS11250,NC_009641.1,-,2158368,2159618,n.a,false,WP_001052270.1,"ammonium transporter","n.a"
NWMN_RS00205,NC_009641.1,-,44597,45817,n.a,false,WP_000130764.1,"MFS transporter","n.a"
NWMN_RS12205,NC_009641.1,+,2347265,2347690,n.a,false,WP_001549607.1,"MAP domain_containing protein","n.a"
NWMN_RS12785,NC_009641.1,+,2438224,2439096,n.a,false,WP_000073195.1,"MurR/RpiR family transcriptional regulator","n.a"
NWMN_RS01625,NC_009641.1,+,336349,336552,n.a,false,WP_001072795.1,"hypothetical protein","n.a"
NWMN_RS15400,NC_009641.1,+,1915180,1915371,n.a,false,WP_001790705.1,"hypothetical protein","n.a"
NWMN_RS05330,NC_009641.1,-,1057056,1057289,n.a,false,WP_001289614.1,"glutaredoxin family protein","n.a"
NWMN_RS03845,NC_009641.1,-,761271,761690,queD,false,WP_000941336.1,"6_carboxytetrahydropterin synthase QueD","n.a"
NWMN_RS09365,NC_009641.1,+,1865174,1865644,n.a,false,WP_000671052.1,"RNA polymerase sigma factor SigS","n.a"
NWMN_RS15810,NC_009641.1,-,2869543,2869629,n.a,true,n.a,"hypothetical protein","n.a"
NWMN_RS01630,NC_009641.1,+,336545,336781,n.a,false,WP_000608279.1,"hypothetical protein","n.a"
NWMN_RS07175,NC_009641.1,+,1401439,1403961,mprF,false,WP_001071135.1,"bifunctional lysylphosphatidylglycerol flippase/synthetase MprF","n.a"
NWMN_RS12000,NC_009641.1,-,2307614,2308297,n.a,false,WP_000047255.1,"hemolysin III family protein","n.a"
NWMN_RS04905,NC_009641.1,+,970601,970948,n.a,false,WP_001242102.1,"hypothetical protein","n.a"
NWMN_RS13695,NC_009641.1,+,2613440,2613625,n.a,false,WP_001791851.1,"hypothetical protein","n.a"
NWMN_RS12635,NC_009641.1,+,2410293,2410703,n.a,false,WP_000612129.1,"urease subunit beta","n.a"
NWMN_RS07760,NC_009641.1,-,1545215,1545664,n.a,false,WP_000442480.1,"nucleoside_diphosphate kinase","n.a"
NWMN_RS14675,NC_009641.1,+,2826255,2826557,n.a,false,WP_001260013.1,"hypothetical protein","n.a"
NWMN_RS04515,NC_009641.1,-,887916,888182,n.a,false,WP_000566649.1,"DUF3055 domain_containing protein","n.a"
NWMN_RS15770,NC_009641.1,+,1980207,1980287,n.a,false,WP_100250272.1,"hypothetical protein","n.a"
NWMN_RS04910,NC_009641.1,+,970965,971600,n.a,false,WP_001077683.1,"GTP pyrophosphokinase family protein","n.a"
NWMN_RS07215,NC_009641.1,+,1411795,1412361,n.a,false,WP_000604817.1,"aminodeoxychorismate/anthranilate synthase component II","n.a"
NWMN_RS13640,NC_009641.1,-,2604552,2605373,cntK,false,WP_001081682.1,"histidine racemase CntK","n.a"
NWMN_RS00130,NC_009641.1,+,33692,34171,rlmH,false,WP_000704775.1,"23S rRNA (pseudouridine(1915)_N(3))_methyltransferase RlmH","n.a"
NWMN_RS08750,NC_009641.1,-,1727398,1727499,n.a,false,WP_001788970.1,"hypothetical protein","n.a"
NWMN_RS12185,NC_009641.1,+,2342444,2342611,n.a,false,WP_001790107.1,"hypothetical protein","n.a"
NWMN_RS04815,NC_009641.1,+,950795,951721,n.a,false,WP_000521533.1,"ABC transporter permease","n.a"
NWMN_RS01415,NC_009641.1,-,311606,313138,n.a,false,WP_000665736.1,"sodium:solute symporter","n.a"
NWMN_RS11760,NC_009641.1,-,2253593,2254786,n.a,false,WP_000183726.1,"hypothetical protein","n.a"
NWMN_RS14755,NC_009641.1,-,2840337,2841095,hisF,false,WP_000592609.1,"imidazole glycerol phosphate synthase subunit HisF","n.a"
NWMN_RS11820,NC_009641.1,-,2264475,2265413,n.a,false,WP_001127960.1,"class I mannose_6_phosphate isomerase","n.a"
NWMN_RS03685,NC_009641.1,-,730351,730917,n.a,false,WP_000820892.1,"TIGR00730 family Rossman fold protein","n.a"
NWMN_RS00725,NC_009641.1,-,164726,166366,n.a,false,WP_000813555.1,"alpha_keto acid decarboxylase family protein","n.a"
NWMN_RS15655,NC_009641.1,+,,2869970,n.a,true,n.a,"IS30 family transposase","n.a"
NWMN_RS04475,NC_009641.1,+,880955,881995,n.a,false,WP_000582332.1,"HlyC/CorC family transporter","n.a"
NWMN_RS03875,NC_009641.1,+,765407,766117,n.a,false,WP_000708692.1,"allophanate hydrolase subunit 1","n.a"
NWMN_RS10865,NC_009641.1,-,2101579,2106108,n.a,false,WP_001643732.1,"phage tail tape measure protein","n.a"
NWMN_RS06465,NC_009641.1,+,1257532,1257864,n.a,false,WP_000531320.1,"putative DNA_binding protein","n.a"
NWMN_RS10100,NC_009641.1,-,1977903,1978712,n.a,false,WP_000830380.1,"monofunctional peptidoglycan glycosyltransferase SgtB","n.a"
NWMN_RS05650,NC_009641.1,+,1109400,1110179,n.a,false,WP_000803062.1,"AAA domain_containing protein","n.a"
NWMN_RS12590,NC_009641.1,-,2401421,2402203,modA,false,WP_000769517.1,"molybdate ABC transporter substrate_binding protein","n.a"
NWMN_RS05190,NC_009641.1,-,1029369,1029659,qoxD,false,WP_000104254.1,"cytochrome aa3 quinol oxidase subunit IV","n.a"
NWMN_RS00895,NC_009641.1,+,209016,209210,n.a,false,WP_001249504.1,"hypothetical protein","n.a"
NWMN_RS13665,NC_009641.1,-,2610443,2610862,n.a,false,WP_000037508.1,"DUF1433 domain_containing protein","n.a"
NWMN_RS11725,NC_009641.1,+,2247088,2247609,n.a,false,WP_000036005.1,"DUF2529 domain_containing protein","n.a"
NWMN_RS02820,NC_009641.1,+,554946,555506,pdxT,false,WP_000690439.1,"pyridoxal 5'_phosphate synthase glutaminase subunit PdxT","n.a"
NWMN_RS07305,NC_009641.1,-,1428384,1429235,n.a,false,WP_000079447.1,"phosphate ABC transporter ATP_binding protein","n.a"
NWMN_RS08980,NC_009641.1,+,1778962,1780017,n.a,false,WP_000161661.1,"aminopeptidase P family protein","n.a"
NWMN_RS14040,NC_009641.1,-,2686109,2686213,n.a,false,WP_001791767.1,"hypothetical protein","n.a"
NWMN_RS13915,NC_009641.1,+,2663594,2664400,n.a,false,WP_000863985.1,"VOC family protein","n.a"
NWMN_RS15205,NC_009641.1,+,783847,784113,n.a,false,WP_001790091.1,"hypothetical protein","n.a"
NWMN_RS01420,NC_009641.1,-,313178,314059,n.a,false,WP_001030738.1,"N_acetylneuraminate lyase","n.a"
NWMN_RS10905,NC_009641.1,-,2109089,2109373,n.a,false,WP_000238236.1,"hypothetical protein","n.a"
NWMN_RS09745,NC_009641.1,-,1928800,1929540,n.a,false,WP_000216878.1,"ABC transporter ATP_binding protein","n.a"
NWMN_RS02950,NC_009641.1,+,583877,584290,n.a,false,WP_001142337.1,"30S ribosomal protein S12","n.a"
NWMN_RS00400,NC_009641.1,+,92433,93209,n.a,false,WP_000183771.1,"(S)_acetoin forming diacetyl reductase","n.a"
NWMN_RS01990,NC_009641.1,-,402855,403958,n.a,false,WP_000655692.1,"aminotransferase class I/II_fold pyridoxal phosphate_dependent enzyme","n.a"
NWMN_RS02395,NC_009641.1,+,474488,475825,n.a,false,WP_000828726.1,"sodium_dependent transporter","n.a"
NWMN_RS13195,NC_009641.1,-,2518936,2519613,narI,false,WP_000934151.1,"respiratory nitrate reductase subunit gamma","n.a"
NWMN_RS10325,NC_009641.1,-,2010960,2011145,n.a,false,WP_001187264.1,"DUF3113 family protein","n.a"
NWMN_RS10500,NC_009641.1,-,2034946,2035359,n.a,false,WP_001549145.1,"hypothetical protein","n.a"
NWMN_RS13190,NC_009641.1,-,2518464,2518916,n.a,false,WP_000186933.1,"GAF domain_containing protein","n.a"
NWMN_RS10435,NC_009641.1,-,2024623,2025153,n.a,false,WP_000184383.1,"acyl_CoA thioesterase","n.a"
NWMN_RS05705,NC_009641.1,+,1113079,1113363,n.a,false,WP_001105621.1,"hypothetical protein","n.a"
NWMN_RS08385,NC_009641.1,-,1657201,1658175,holA,false,WP_001282562.1,"DNA polymerase III subunit delta","n.a"
NWMN_RS00390,NC_009641.1,+,91138,91545,n.a,false,WP_000094899.1,"hypothetical protein","n.a"
NWMN_RS09530,NC_009641.1,-,1890314,1890673,n.a,false,WP_002868972.1,"DUF1433 domain_containing protein","n.a"
NWMN_RS15650,NC_009641.1,-,2839336,2839515,n.a,false,WP_025175201.1,"hypothetical protein","n.a"
NWMN_RS14650,NC_009641.1,-,2814617,2816170,asp1,false,WP_000873197.1,"accessory Sec system protein Asp1","n.a"
NWMN_RS13715,NC_009641.1,-,2616136,2616462,n.a,false,WP_000495498.1,"hypothetical protein","n.a"
NWMN_RS01580,NC_009641.1,+,333566,333814,n.a,false,WP_012068339.1,"hypothetical protein","n.a"
NWMN_RS03030,NC_009641.1,+,601668,604511,sdrC,false,WP_001060502.1,"MSCRAMM family adhesin SdrC","n.a"
NWMN_RS12565,NC_009641.1,+,2397923,2398417,moaC,false,WP_000134528.1,"cyclic pyranopterin monophosphate synthase MoaC","n.a"
NWMN_RS09170,NC_009641.1,-,1818057,1818548,n.a,false,WP_000383814.1,"DUF948 domain_containing protein","n.a"
NWMN_RS08240,NC_009641.1,-,1627926,1629272,n.a,false,WP_001062180.1,"DEAD/DEAH box helicase","n.a"
NWMN_RS04845,NC_009641.1,+,958473,959459,n.a,false,WP_001067038.1,"ABC transporter ATP_binding protein","n.a"
NWMN_RS03525,NC_009641.1,+,702583,703167,dhaL,false,WP_000867203.1,"dihydroxyacetone kinase subunit L","n.a"
NWMN_RS05235,NC_009641.1,+,1037692,1038396,n.a,false,WP_000174053.1,"phosphoribosylaminoimidazolesuccinocarboxamide synthase","n.a"
NWMN_RS05170,NC_009641.1,-,1024864,1025298,n.a,false,WP_000491986.1,"GNAT family N_acetyltransferase","n.a"
NWMN_RS04985,NC_009641.1,+,988856,989659,n.a,false,WP_000928413.1,"TerC family protein","n.a"
NWMN_RS05395,NC_009641.1,+,1068597,1070003,lpdA,false,WP_000260117.1,"dihydrolipoyl dehydrogenase","n.a"
NWMN_RS08915,NC_009641.1,+,1761080,1762441,n.a,false,WP_000818525.1,"amino acid permease","n.a"
NWMN_RS06250,NC_009641.1,+,1210130,1210927,n.a,false,WP_000274844.1,"VOC family protein","n.a"
NWMN_RS11395,NC_009641.1,-,2189575,2190345,sigB,false,WP_001041103.1,"RNA polymerase sigma factor SigB","n.a"
NWMN_RS08025,NC_009641.1,-,1591436,1592710,n.a,false,WP_000406843.1,"2_oxo acid dehydrogenase subunit E2","n.a"
NWMN_RS10720,NC_009641.1,+,2078823,2079386,n.a,false,WP_000182842.1,"thioredoxin family protein","n.a"
NWMN_RS07315,NC_009641.1,-,1430201,1431127,pstC,false,WP_000204625.1,"phosphate ABC transporter permease subunit PstC","n.a"
NWMN_RS07940,NC_009641.1,-,1575284,1575826,n.a,false,WP_000365246.1,"NUDIX hydrolase","n.a"
NWMN_RS04360,NC_009641.1,-,863770,864192,n.a,false,WP_000974460.1,"organic hydroperoxide resistance protein","n.a"
NWMN_RS12050,NC_009641.1,-,2316697,2318454,sfaB,false,WP_000262640.1,"staphyloferrin A synthetase SfaB","n.a"
NWMN_RS15410,NC_009641.1,+,1930581,1930787,n.a,true,n.a,"hypothetical protein","n.a"
NWMN_RS13600,NC_009641.1,-,2596115,2597308,n.a,false,WP_000675401.1,"MFS transporter","n.a"
NWMN_RS08180,NC_009641.1,-,1617761,1618090,n.a,false,WP_001018871.1,"MTH1187 family thiamine_binding protein","n.a"
NWMN_RS04750,NC_009641.1,+,936548,936856,n.a,false,WP_000390575.1,"metal_sulfur cluster assembly factor","n.a"
NWMN_RS07685,NC_009641.1,-,1528141,1528827,n.a,false,WP_000362212.1,"DnaD domain_containing protein","n.a"
NWMN_RS13935,NC_009641.1,+,2667823,2668458,n.a,false,WP_000773921.1,"ATP_binding cassette domain_containing protein","n.a"
NWMN_RS04265,NC_009641.1,+,848141,848296,n.a,false,WP_001790158.1,"hypothetical protein","n.a"
NWMN_RS04830,NC_009641.1,+,953880,954821,n.a,false,WP_000786737.1,"ATP_binding cassette domain_containing protein","n.a"
NWMN_RS07370,NC_009641.1,+,1441538,1442689,n.a,false,WP_001003793.1,"hydrolase","n.a"
NWMN_RS01230,NC_009641.1,+,279315,279773,essA,false,WP_000928935.1,"type VII secretion protein EssA","n.a"
NWMN_RS00915,NC_009641.1,-,213801,213908,n.a,false,WP_001790533.1,"hypothetical protein","n.a"
NWMN_RS06340,NC_009641.1,+,1229064,1231472,priA,false,WP_000560841.1,"primosomal protein N'","n.a"
NWMN_RS08540,NC_009641.1,-,1682058,1684688,alaS,false,WP_000734064.1,"alanine__tRNA ligase","n.a"
NWMN_RS09270,NC_009641.1,-,1848362,1849543,n.a,false,WP_001025061.1,"MFS transporter","n.a"
NWMN_RS00845,NC_009641.1,+,196035,197111,n.a,false,WP_000153466.1,"Gfo/Idh/MocA family oxidoreductase","n.a"
NWMN_RS13895,NC_009641.1,-,2660817,2661410,n.a,false,WP_000400032.1,"alpha/beta hydrolase","n.a"
NWMN_RS07910,NC_009641.1,-,1571122,1571859,n.a,false,WP_000159577.1,"rRNA pseudouridine synthase","n.a"
NWMN_RS02080,NC_009641.1,+,415111,415692,n.a,false,WP_000158374.1,"histidine phosphatase family protein","n.a"
NWMN_RS11685,NC_009641.1,-,2238238,2239314,prfA,false,WP_000460242.1,"peptide chain release factor 1","n.a"
NWMN_RS10475,NC_009641.1,-,2030865,2031566,n.a,false,WP_000149064.1,"cell wall_active antibiotics response protein","n.a"
NWMN_RS09085,NC_009641.1,-,1797716,1799182,n.a,false,WP_000276366.1,"PTS transporter subunit EIIC","n.a"
NWMN_RS11030,NC_009641.1,-,2124430,2124756,n.a,false,WP_000165362.1,"DUF2482 family protein","n.a"
NWMN_RS10145,NC_009641.1,-,1986659,1986832,n.a,false,WP_078061239.1,"XkdX family protein","n.a"
NWMN_RS11620,NC_009641.1,-,2227853,2229361,n.a,false,WP_000974882.1,"F0F1 ATP synthase subunit alpha","n.a"
NWMN_RS02235,NC_009641.1,+,444002,444700,n.a,false,WP_000673479.1,"superantigen_like protein SSL8","n.a"
NWMN_RS06320,NC_009641.1,-,1224836,1226533,n.a,false,WP_000312769.1,"fibronectin_binding domain_containing protein","n.a"
NWMN_RS03485,NC_009641.1,+,693534,695261,n.a,false,WP_000817954.1,"ABC transporter ATP_binding protein","n.a"
NWMN_RS05975,NC_009641.1,-,1162156,1162251,n.a,false,WP_001788625.1,"hypothetical protein","n.a"
